Fecha,Ubicacion,Local,Resultado,Visitante,year
27 de junio,Asunción,Olimpia,4:1,Melgar,2023
"3 de agosto, 17:00 (UTC-5)",Medellín,Atlético Nacional,4:2,Racing Club,2023
"10 de agosto, 19:00 (UTC-3)",Avellaneda,Racing Club,3:0,Atlético Nacional,2023
"1 de agosto, 20:00 (UTC-4)",La Paz,Bolívar,3:1,Athletico Paranaense,2023
"8 de agosto, 21:00 (UTC-3)",Curitiba,Athletico Paranaense,2:0,Bolívar,2023
"3 de agosto, 21:00 (UTC-3)",Río de Janeiro,Flamengo,1:0,Olimpia,2023
"10 de agosto, 20:00 (UTC-4)",Asunción,Olimpia,3:1,Flamengo,2023
"2 de agosto, 21:30 (UTC-3)",Belo Horizonte,Atlético Mineiro,0:1,Palmeiras,2023
"9 de agosto, 21:30 (UTC-3)",São Paulo,Palmeiras,0:0,Atlético Mineiro,2023
"2 de agosto, 19:00 (UTC-5)",Pereira,Deportivo Pereira,1:0,Independiente del Valle,2023
"9 de agosto, 19:00 (UTC-5)",Quito,Independiente del Valle,1:1,Deportivo Pereira,2023
"1 de agosto, 19:00 (UTC-3)",Buenos Aires,Argentinos Juniors,1:1,Fluminense,2023
"8 de agosto, 19:00 (UTC-3)",Río de Janeiro,Fluminense,2:0,Argentinos Juniors,2023
"1 de agosto, 21:00 (UTC-3)",Buenos Aires,River Plate,2:1,Internacional,2023
"8 de agosto, 21:00 (UTC-3)",Porto Alegre,Internacional,2:1,River Plate,2023
"2 de agosto, 21:00 (UTC-3)",Montevideo,Nacional,0:0,Boca Juniors,2023
"9 de agosto, 21:00 (UTC-3)",Buenos Aires,Boca Juniors,2:2,Nacional,2023
"23 de agosto, 21:30 (UTC-3)",Buenos Aires,Boca Juniors,0:0,Racing Club,2023
"30 de agosto, 21:30 (UTC-3)",Avellaneda,Racing Club,0:0,Boca Juniors,2023
"22 de agosto, 18:00 (UTC-4)",La Paz,Bolívar,0:1,Internacional,2023
"29 de agosto, 19:00 (UTC-3)",Porto Alegre,Internacional,2:0,Bolívar,2023
"24 de agosto, 21:30 (UTC-3)",Río de Janeiro,Fluminense,2:0,Olimpia,2023
"31 de agosto, 20:30 (UTC-4)",Asunción,Olimpia,1:3,Fluminense,2023
"23 de agosto, 19:30 (UTC-5)",Pereira,Deportivo Pereira,0:4,Palmeiras,2023
"30 de agosto, 21:30 (UTC-3)",São Paulo,Palmeiras,0:0,Deportivo Pereira,2023
"28 de septiembre, 21:30 (UTC-3)",Buenos Aires,Boca Juniors,vs.,Palmeiras,2023
"5 de octubre, 21:30 (UTC-3)",São Paulo,Palmeiras,vs.,Boca Juniors,2023
"27 de septiembre, 21:30 (UTC-3)",Río de Janeiro,Fluminense,vs.,Internacional,2023
"4 de octubre, 21:30 (UTC-3)",Porto Alegre,Internacional,vs.,Fluminense,2023
