Fecha,Ubicacion,Local,Resultado,Visitante,year
4 de mayo de 2000,Asunción,Cerro Porteño,0:4,River Plate,2000
10 de mayo de 2000,Buenos Aires,River Plate,1:0,Cerro Porteño,2000
18 de mayo de 2000,Guadalajara,Atlas,0:2,Palmeiras,2000
25 de mayo de 2000,São Paulo,Palmeiras,3:2,Atlas,2000
18 de mayo de 2000,Belo Horizonte,Atlético Mineiro,1:1,Corinthians,2000
23 de mayo de 2000,São Paulo,Corinthians,2:1,Atlético Mineiro,2000
17 de mayo de 2000,Ciudad de México,América,2:0,Bolívar,2000
25 de mayo de 2000,La Paz,Bolívar,1:2,América,2000
17 de mayo de 2000,Buenos Aires,River Plate,2:1,Boca Juniors,2000
24 de mayo de 2000,Buenos Aires,Boca Juniors,3:0,River Plate,2000
30 de mayo de 2000,São Paulo,Corinthians,4:3,Palmeiras,2000
6 de junio de 2000,São Paulo,Palmeiras,3:2,Corinthians,2000
31 de mayo de 2000,Buenos Aires,Boca Juniors,4:1,América,2000
7 de junio de 2000,Ciudad de México,América,3:1,Boca Juniors,2000
"14 de junio de 2000, 21:45 (UTC-3)",Buenos Aires,Boca Juniors,2:2,Palmeiras,2000
"21 de junio de 2000, 21:40 (UTC-3)",São Paulo,Palmeiras,0:0,Boca Juniors,2000
20 de septiembre de 2000,Ciudad de México,Atlante,2:4,Cruz Azul ,2001
21 de septiembre de 2000,Caracas,Deportivo Italchacao,1:2,Deportivo Táchira,2001
26 de septiembre de 2000,Caracas,Deportivo Italchacao,2:0,Atlante,2001
28 de septiembre de 2000,San Cristóbal,Deportivo Táchira,1:0,Atlante,2001
10 de octubre de 2000,Caracas,Deportivo Italchacao,0:2,Cruz Azul,2001
12 de octubre de 2000,San Cristóbal,Deportivo Táchira,1:0,Cruz Azul,2001
25 de octubre de 2000,San Cristóbal,Deportivo Táchira,0:2,Deportivo Italchacao,2001
25 de octubre de 2000,Ciudad de México,Cruz Azul,1:3,Atlante,2001
31 de octubre de 2000,Ciudad de México,Atlante,2:3,Deportivo Italchacao,2001
2 de noviembre de 2000,Ciudad de México,Cruz Azul,4:1,Deportivo Italchacao,2001
21 de noviembre de 2000,Ciudad de México,Atlante,1:2,Deportivo Táchira,2001
23 de noviembre de 2000,Ciudad de México,Cruz Azul,4:1,Deportivo Táchira,2001
6 de febrero,Lima,Universitario,0:2,Vélez Sarsfield,2001
7 de febrero,Barranquilla,Junior,3:1,Rosario Central,2001
21 de febrero,Rosario,Rosario Central,6:0,Universitario,2001
22 de febrero,Buenos Aires,Vélez Sarsfield,2:0,Junior,2001
8 de marzo,Rosario,Rosario Central,2:0,Vélez Sarsfield,2001
15 de marzo,Lima,Universitario,1:2,Junior,2001
20 de marzo,Lima,Universitario,1:1,Rosario Central,2001
22 de marzo,Barranquilla,Junior,4:0,Vélez Sarsfield,2001
4 de abril,Rosario,Rosario Central,1:0,Junior,2001
5 de abril,Buenos Aires,Vélez Sarsfield,1:0,Universitario,2001
19 de abril,Barranquilla,Junior,1:1,Universitario,2001
19 de abril,Buenos Aires,Vélez Sarsfield,0:2,Rosario Central,2001
8 de febrero,Santiago,Universidad de Chile,0:2,Cerro Porteño,2001
15 de febrero,Asunción,Cerro Porteño,3:1,Sport Boys,2001
27 de febrero,Callao,Sport Boys,0:2,Universidad de Chile,2001
8 de marzo,São Paulo,Palmeiras,2:1,Universidad de Chile,2001
14 de marzo,Lima,Sport Boys,1:4,Palmeiras,2001
22 de marzo,Callao,Sport Boys,0:4,Cerro Porteño,2001
4 de abril,Asunción,Cerro Porteño,0:0,Palmeiras,2001
10 de abril,Asunción,Cerro Porteño,6:0,Universidad de Chile,2001
11 de abril,São Paulo,Palmeiras,3:0,Sport Boys,2001
18 de abril,Santiago,Universidad de Chile,1:2,Palmeiras,2001
2 de mayo,Santiago,Universidad de Chile,1:1,Sport Boys,2001
2 de mayo,São Paulo,Palmeiras,5:2,Cerro Porteño,2001
7 de febrero,Cochabamba,Jorge Wilstermann,4:2,San Lorenzo,2001
15 de febrero,Montevideo,Nacional,3:0,Jorge Wilstermann,2001
20 de febrero,Concepción,Deportes Concepción,0:0,Nacional,2001
1 de marzo,Buenos Aires,San Lorenzo,2:1,Deportes Concepción,2001
8 de marzo,Cochabamba,Jorge Wilstermann,2:1,Deportes Concepción,2001
13 de marzo,Montevideo,Nacional,1:0,San Lorenzo,2001
3 de abril,Buenos Aires,San Lorenzo,2:0,Jorge Wilstermann,2001
11 de abril,Montevideo,Nacional,2:0,Deportes Concepción,2001
17 de abril,Cochabamba,Jorge Wilstermann,1:2,Nacional,2001
17 de abril,Concepción,Deportes Concepción,3:2,San Lorenzo,2001
3 de mayo,Concepción,Deportes Concepción,3:0,Jorge Wilstermann,2001
3 de mayo,Buenos Aires,San Lorenzo,1:1,Nacional,2001
13 de febrero,Guayaquil,Emelec,1:1,Olimpia,2001
22 de febrero,Asunción,Olimpia,1:0,Sporting Cristal,2001
1 de marzo,Lima,Sporting Cristal,0:1,Emelec,2001
13 de marzo,Lima,Sporting Cristal,0:1,Cruzeiro,2001
3 de abril,Belo Horizonte,Cruzeiro,2:0,Emelec,2001
6 de abril,Asunción,Olimpia,3:4,Cruzeiro,2001
10 de abril,Belo Horizonte,Cruzeiro,5:0,Sporting Cristal,2001
12 de abril,Asunción,Olimpia,2:2,Emelec,2001
17 de abril,Guayaquil,Emelec,0:0,Cruzeiro,2001
18 de abril,Lima,Sporting Cristal,3:2,Olimpia,2001
1 de mayo,Guayaquil,Emelec,3:1,Sporting Cristal,2001
1 de mayo,Ipatinga,Cruzeiro,3:1,Olimpia,2001
13 de febrero,Asunción,Guaraní,3:1,El Nacional,2001
22 de febrero,Buenos Aires,River Plate,5:1,The Strongest,2001
28 de febrero,Quito,El Nacional,1:0,River Plate,2001
1 de marzo,La Paz,The Strongest,1:1,Guaraní,2001
6 de marzo,Buenos Aires,River Plate,4:0,Guaraní,2001
13 de marzo,Quito,El Nacional,3:1,Guaraní,2001
5 de abril,La Paz,The Strongest,4:1,River Plate,2001
10 de abril,Quito,El Nacional,2:1,The Strongest,2001
17 de abril,Asunción,Guaraní,4:1,The Strongest,2001
18 de abril,Buenos Aires,River Plate,2:0,El Nacional,2001
3 de mayo,Asunción,Guaraní,0:1,River Plate,2001
3 de mayo,La Paz,The Strongest,2:1,El Nacional,2001
13 de febrero,Montevideo,Peñarol,1:2,América de Cali,2001
22 de febrero,San Cristóbal,Deportivo Táchira,0:0,Peñarol,2001
27 de febrero,Cali,América de Cali,3:0,Deportivo Táchira,2001
6 de marzo,Cali,América de Cali,2:1,Peñarol,2001
14 de marzo,Cali,América de Cali,0:3,Vasco da Gama,2001
21 de marzo,San Cristóbal,Deportivo Táchira,0:1,Vasco da Gama,2001
5 de abril,Río de Janeiro,Vasco da Gama,2:1,Peñarol,2001
12 de abril,Río de Janeiro,Vasco da Gama,4:1,América de Cali,2001
18 de abril,Montevideo,Peñarol,3:1,Deportivo Táchira,2001
21 de abril,Río de Janeiro,Vasco da Gama,3:2,Deportivo Táchira,2001
2 de mayo,San Cristóbal,Deportivo Táchira,0:2,América de Cali,2001
2 de mayo,Montevideo,Peñarol,1:3,Vasco da Gama,2001
14 de febrero,Montevideo,Defensor Sporting,3:2,Olmedo,2001
20 de febrero,Ciudad de México,Cruz Azul,2:0,Defensor Sporting,2001
27 de febrero,Riobamba,Olmedo,2:3,Cruz Azul,2001
6 de marzo,São Caetano do Sul,São Caetano,1:1,Cruz Azul,2001
7 de marzo,Riobamba,Olmedo,4:2,Defensor Sporting,2001
15 de marzo,Riobamba,Olmedo,2:1,São Caetano,2001
21 de marzo,Ciudad de México,Cruz Azul,1:0,São Caetano,2001
6 de abril,São Caetano do Sul,São Caetano,0:0,Defensor Sporting,2001
12 de abril,Montevideo,Defensor Sporting,3:2,Cruz Azul,2001
19 de abril,São Caetano do Sul,São Caetano,3:0,Olmedo,2001
4 de mayo,Ciudad de México,Cruz Azul,3:1,Olmedo,2001
4 de mayo,Montevideo,Defensor Sporting,0:1,São Caetano,2001
14 de febrero,Cali,Deportivo Cali,1:2,Cobreloa,2001
21 de febrero,Buenos Aires,Boca Juniors,2:1,Oriente Petrolero,2001
28 de febrero,Calama,Cobreloa,0:1,Boca Juniors,2001
2 de marzo,Santa Cruz,Oriente Petrolero,1:3,Deportivo Cali,2001
7 de marzo,Calama,Cobreloa,2:1,Oriente Petrolero,2001
7 de marzo,Buenos Aires,Boca Juniors,2:1,Deportivo Cali,2001
20 de marzo,Buenos Aires,Boca Juniors,1:0,Cobreloa,2001
4 de abril,Calama,Cobreloa,2:1,Deportivo Cali,2001
4 de abril,Santa Cruz,Oriente Petrolero,0:1,Boca Juniors,2001
20 de abril,Cali,Deportivo Cali,4:1,Oriente Petrolero,2001
2 de mayo,Cali,Deportivo Cali,3:0,Boca Juniors,2001
2 de mayo,Santa Cruz,Oriente Petrolero,2:2,Cobreloa,2001
8 de mayo de 2001,Quito,El Nacional,1:2,Cruzeiro,2001
15 de mayo de 2001,Belo Horizonte,Cruzeiro,4:1,El Nacional,2001
9 de mayo de 2001,São Caetano do Sul,São Caetano,1:0,Palmeiras,2001
16 de mayo de 2001,São Paulo,Palmeiras,1:0,São Caetano,2001
10 de mayo de 2001,Barranquilla,Junior,2:3,Boca Juniors,2001
16 de mayo de 2001,Buenos Aires,Boca Juniors,1:1,Junior,2001
9 de mayo de 2001,Concepción,Deportes Concepción,1:3,Vasco da Gama,2001
16 de mayo de 2001,Río de Janeiro,Vasco da Gama,1:0,Deportes Concepción,2001
9 de mayo de 2001,Cali,América de Cali,2:0,Nacional,2001
17 de mayo de 2001,Montevideo,Nacional,1:3,América de Cali,2001
8 de mayo de 2001,Calama,Cobreloa,2:3,Rosario Central,2001
15 de mayo de 2001,Rosario,Rosario Central,1:1,Cobreloa,2001
10 de mayo de 2001,Asunción,Cerro Porteño,2:1,Cruz Azul,2001
16 de mayo de 2001,Ciudad de México,Cruz Azul,3:1,Cerro Porteño,2001
9 de mayo de 2001,Guayaquil,Emelec,2:0,River Plate,2001
17 de mayo de 2001,Buenos Aires,River Plate,5:0,Emelec,2001
23 de mayo de 2001,São Paulo,Palmeiras,3:3,Cruzeiro,2001
30 de mayo de 2001,Belo Horizonte,Cruzeiro,2:2,Palmeiras,2001
23 de mayo de 2001,Río de Janeiro,Vasco da Gama,0:1,Boca Juniors,2001
30 de mayo de 2001,Buenos Aires,Boca Juniors,3:0,Vasco da Gama,2001
22 de mayo de 2001,Rosario,Rosario Central,1:0,América de Cali,2001
29 de mayo de 2001,Cali,América de Cali,3:2,Rosario Central,2001
23 de mayo de 2001,Buenos Aires,River Plate,0:0,Cruz Azul,2001
29 de mayo de 2001,Ciudad de México,Cruz Azul,3:0,River Plate,2001
7 de junio de 2001,Buenos Aires,Boca Juniors,2:2,Palmeiras,2001
13 de junio de 2001,São Paulo,Palmeiras,2:2,Boca Juniors,2001
7 de junio de 2001,Ciudad de México,Cruz Azul,2:0,Rosario Central,2001
14 de junio de 2001,Rosario,Rosario Central,3:3,Cruz Azul,2001
"20 de junio de 2001, 19:30 (UTC-6)",Ciudad de México,Cruz Azul,0:1,Boca Juniors,2001
"28 de junio de 2001, 21:30 (UTC-3)",Buenos Aires,Boca Juniors,0:1,Cruz Azul,2001
26 de septiembre de 2001,Valera, Deportivo Trujillanos ,1:0,Caracas,2002
3 de octubre de 2001,Morelia,Monarcas Morelia,1:3, América ,2002
16 de octubre de 2001,Valera,Deportivo Trujillanos,0:1,Monarcas Morelia,2002
18 de octubre de 2001,Caracas,Caracas,3:1,Monarcas Morelia,2002
23 de octubre de 2001,Valera,Deportivo Trujillanos,2:1,América,2002
25 de octubre de 2001,Caracas,Caracas,1:1,América,2002
31 de octubre de 2001,Ciudad de México,América,2:0,Monarcas Morelia,2002
31 de octubre de 2001,Caracas,Caracas,3:0,Deportivo Trujillanos,2002
20 de noviembre de 2001,Morelia, Monarcas Morelia ,3:0,Deportivo Trujillanos,2002
22 de noviembre de 2001,Ciudad de México,América,7:1,Deportivo Trujillanos,2002
27 de noviembre de 2001,Morelia,Monarcas Morelia,3:0,Caracas,2002
29 de noviembre de 2001,Ciudad de México,América,1:0,Caracas,2002
5 de febrero,Lima,Alianza Lima,0:0,Cerro Porteño,2002
6 de febrero,Calama,Cobreloa,2:1,São Caetano,2002
13 de febrero,São Caetano do Sul,São Caetano,4:0,Alianza Lima,2002
19 de febrero,Asunción,Cerro Porteño,3:0,Cobreloa,2002
26 de febrero,Calama,Cobreloa,5:0,Alianza Lima,2002
5 de marzo,Ciudad del Este,Cerro Porteño,1:3,São Caetano,2002
13 de marzo,Asunción,Cerro Porteño,2:0,Alianza Lima,2002
14 de marzo,São Caetano do Sul,São Caetano,3:0,Cobreloa,2002
28 de marzo,Lima,Alianza Lima,0:3,São Caetano,2002
4 de abril,Calama,Cobreloa,3:0,Cerro Porteño,2002
10 de abril,Lima,Alianza Lima,1:2,Cobreloa,2002
10 de abril,São Caetano do Sul,São Caetano,0:1,Cerro Porteño,2002
7 de febrero,Santa Cruz,Oriente Petrolero,2:4,Grêmio,2002
8 de febrero,Cuzco,Cienciano,3:0,12 de Octubre,2002
13 de febrero,Santa Cruz,Oriente Petrolero,3:1,Cienciano,2002
20 de febrero,Asunción,12 de Octubre,3:2,Oriente Petrolero,2002
20 de febrero,Porto Alegre,Grêmio,2:0,Cienciano,2002
28 de febrero,Porto Alegre,Grêmio,3:2,Oriente Petrolero,2002
12 de marzo,Asunción,12 de Octubre,1:0,Grêmio,2002
19 de marzo,Asunción,12 de Octubre,1:0,Cienciano,2002
2 de abril,Santa Cruz,Oriente Petrolero,1:0,12 de Octubre,2002
3 de abril,Cuzco,Cienciano,2:1,Grêmio,2002
9 de abril,Cuzco,Cienciano,2:0,Oriente Petrolero,2002
9 de abril,Porto Alegre,Grêmio,1:0,12 de Octubre,2002
5 de febrero,Quito,El Nacional,1:0,Peñarol,2002
5 de febrero,Potosí,Real Potosí,1:0,San Lorenzo,2002
19 de febrero,Montevideo,Peñarol,4:0,Real Potosí,2002
26 de febrero,Buenos Aires,San Lorenzo,1:0,El Nacional,2002
5 de marzo,Potosí,Real Potosí,2:4,El Nacional,2002
6 de marzo,Montevideo,Peñarol,1:0,San Lorenzo,2002
12 de marzo,Montevideo,Peñarol,3:0,El Nacional,2002
12 de marzo,Buenos Aires,San Lorenzo,5:1,Real Potosí,2002
19 de marzo,Potosí,Real Potosí,6:1,Peñarol,2002
19 de marzo,Quito,El Nacional,3:0,San Lorenzo,2002
9 de abril,Quito,El Nacional,2:0,Real Potosí,2002
9 de abril,Buenos Aires,San Lorenzo,0:2,Peñarol,2002
5 de febrero,Curitiba,Atlético Paranaense,1:2,Bolívar,2002
7 de febrero,Cali,América de Cali,1:0,Olmedo,2002
19 de febrero,Riobamba,Olmedo,2:1,Atlético Paranaense,2002
20 de febrero,La Paz,Bolívar,1:1,América de Cali,2002
27 de febrero,Curitiba,Atlético Paranaense,1:1,América de Cali,2002
28 de febrero,Riobamba,Olmedo,4:1,Bolívar,2002
5 de marzo,Riobamba,Olmedo,1:0,América de Cali,2002
12 de marzo,La Paz,Bolívar,5:5,Atlético Paranaense,2002
19 de marzo,Curitiba,Atlético Paranaense,2:0,Olmedo,2002
21 de marzo,Cali,América de Cali,2:0,Bolívar,2002
26 de marzo,La Paz,Bolívar,2:0,Olmedo,2002
26 de marzo,Cali,América de Cali,5:0,Atlético Paranaense,2002
5 de febrero,Morelia,Monarcas Morelia,0:0,Vélez Sarsfield,2002
6 de febrero,Lima,Sporting Cristal,3:4,Nacional,2002
21 de febrero,Montevideo,Nacional,3:3,Monarcas Morelia,2002
26 de febrero,Buenos Aires,Vélez Sársfield,1:0,Sporting Cristal,2002
5 de marzo,Montevideo,Nacional,2:2,Vélez Sársfield,2002
5 de marzo,Morelia,Monarcas Morelia,4:0,Sporting Cristal,2002
13 de marzo,Buenos Aires,Vélez Sársfield,2:3,Monarcas Morelia,2002
14 de marzo,Montevideo,Nacional,1:0,Sporting Cristal,2002
20 de marzo,Lima,Sporting Cristal,2:3,Vélez Sársfield,2002
4 de abril,Morelia,Monarcas Morelia,4:2,Nacional,2002
11 de abril,Lima,Sporting Cristal,0:1,Monarcas Morelia,2002
11 de abril,Buenos Aires,Vélez Sársfield,0:1,Nacional,2002
6 de febrero,Montevideo,Montevideo Wanderers,3:1,Emelec,2002
13 de febrero,Buenos Aires,Boca Juniors,0:0,Santiago Wanderers,2002
19 de febrero,Viña del Mar,Santiago Wanderers,1:1,Montevideo Wanderers,2002
27 de febrero,Guayaquil,Emelec,1:2,Boca Juniors,2002
6 de marzo,Guayaquil,Emelec,1:1,Santiago Wanderers,2002
6 de marzo,Buenos Aires,Boca Juniors,2:0,Montevideo Wanderers,2002
13 de marzo,Guayaquil,Emelec,0:1,Montevideo Wanderers,2002
14 de marzo,Viña del Mar,Santiago Wanderers,1:0,Boca Juniors,2002
20 de marzo,Montevideo,Montevideo Wanderers,3:1,Santiago Wanderers,2002
20 de marzo,Buenos Aires,Boca Juniors,1:0,Emelec,2002
10 de abril,Valparaíso,Santiago Wanderers,2:1,Emelec,2002
10 de abril,Montevideo,Montevideo Wanderers,0:2,Boca Juniors,2002
6 de febrero,Ciudad de México,América,2:0,Talleres (C),2002
14 de febrero,Buenos Aires,River Plate,0:0,Talleres (C),2002
20 de febrero,Pereira,Cortuluá,0:2,América,2002
27 de febrero,Córdoba,Talleres (C),2:1,Cortuluá,2002
28 de febrero,Buenos Aires,River Plate,0:1,América,2002
7 de marzo,Buenos Aires,River Plate,2:0,Cortuluá,2002
12 de marzo,Pereira,Cortuluá,4:2,Talleres (C),2002
13 de marzo,Ciudad de México,América,0:0,River Plate,2002
21 de marzo,Córdoba,Talleres (C),0:1,América,2002
21 de marzo,Pereira,Cortuluá,2:5,River Plate,2002
11 de abril,Córdoba,Talleres (C),1:1,River Plate,2002
11 de abril,Ciudad de México,América,3:2,Cortuluá,2002
6 de febrero,Manizales,Once Caldas,1:0,Flamengo,2002
14 de febrero,Río de Janeiro,Flamengo,1:3,Universidad Católica,2002
21 de febrero,Asunción,Olimpia,3:2,Once Caldas,2002
27 de febrero,Santiago,Universidad Católica,0:1,Olimpia,2002
27 de febrero,Río de Janeiro,Flamengo,4:1,Once Caldas,2002
6 de marzo,Río de Janeiro,Flamengo,0:0,Olimpia,2002
7 de marzo,Manizales,Once Caldas,3:0,Universidad Católica,2002
13 de marzo,Santiago,Universidad Católica,2:1,Flamengo,2002
19 de marzo,Manizales,Once Caldas,2:1,Olimpia,2002
2 de abril,Asunción,Olimpia,1:1,Universidad Católica,2002
10 de abril,Asunción,Olimpia,2:0,Flamengo,2002
10 de abril,Santiago,Universidad Católica,3:1,Once Caldas,2002
23 de abril de 2002,Cuzco,Cienciano,0:1,América,2002
1 de mayo de 2002,Ciudad de México,América,4:1,Cienciano,2002
24 de abril de 2002,Riobamba,Olmedo,0:5,Monarcas Morelia,2002
30 de abril de 2002,Morelia,Monarcas Morelia,3:2,Olmedo,2002
25 de abril de 2002,Santiago,Universidad Católica,1:1,São Caetano,2002
1 de mayo de 2002,São Caetano do Sul,São Caetano,1:1,Universidad Católica,2002
24 de abril de 2002,Montevideo,Montevideo Wanderers,2:2,Peñarol,2002
30 de abril de 2002,Montevideo,Peñarol,2:2,Montevideo Wanderers,2002
23 de abril de 2002,Montevideo,Nacional,1:0,América de Cali,2002
2 de mayo de 2002,Cali,América de Cali,0:0,Nacional,2002
24 de abril de 2002,Buenos Aires,River Plate,1:2,Grêmio,2002
2 de mayo de 2002,Porto Alegre,Grêmio,4:0,River Plate,2002
23 de abril de 2002,Calama,Cobreloa,0:2,Olimpia,2002
2 de mayo de 2002,Asunción,Olimpia,2:1,Cobreloa,2002
25 de abril de 2002,Quito,El Nacional,0:0,Boca Juniors,2002
1 de mayo de 2002,Buenos Aires,Boca Juniors,2:0,El Nacional,2002
7 de mayo de 2002,Morelia,Monarcas Morelia,1:2,América,2002
16 de mayo de 2002,Ciudad de México,América,2:1,Monarcas Morelia,2002
9 de mayo de 2002,Montevideo,Peñarol,1:0,São Caetano,2002
14 de mayo de 2002,São Caetano do Sul,São Caetano,2:1,Peñarol,2002
8 de mayo de 2002,Porto Alegre,Grêmio,1:0,Nacional,2002
15 de mayo de 2002,Montevideo,Nacional,1:1,Grêmio,2002
8 de mayo de 2002,Buenos Aires,Boca Juniors,1:1,Olimpia,2002
16 de mayo de 2002,Asunción,Olimpia,1:0,Boca Juniors,2002
9 de julio de 2002,São Caetano do Sul,São Caetano,2:0,América,2002
16 de julio de 2002,Ciudad de México,América,1:1,São Caetano,2002
10 de julio de 2002,Asunción,Olimpia,3:2,Grêmio,2002
17 de julio de 2002,Porto Alegre,Grêmio,1:0,Olimpia,2002
24 de julio de 2002,Asunción,Olimpia,0:1,São Caetano,2002
31 de julio de 2002,São Paulo,São Caetano,1:2,Olimpia,2002
22 de octubre de 2002,Mérida,Estudiantes de Mérida,1:0,Pumas UNAM,2003
24 de octubre de 2002,Mérida,Nacional Táchira,1:2,Pumas UNAM,2003
29 de octubre de 2002,Mérida,Estudiantes de Mérida,1:1,Cruz Azul,2003
31 de octubre de 2002,Mérida,Nacional Táchira,2:3,Cruz Azul,2003
6 de noviembre de 2002,Ciudad de México,Pumas UNAM,1:1,Cruz Azul,2003
6 de noviembre de 2002,Mérida,Estudiantes de Mérida,1:0,Nacional Táchira,2003
12 de noviembre de 2002,Ciudad de México,Pumas UNAM,3:1,Estudiantes de Mérida,2003
14 de noviembre de 2002,Ciudad de México,Cruz Azul,2:1,Estudiantes de Mérida,2003
19 de noviembre de 2002,Ciudad de México,Pumas UNAM,4:0,Nacional Táchira,2003
21 de noviembre de 2002,Ciudad de México,Cruz Azul,4:0,Nacional Táchira,2003
28 de noviembre de 2002,Ciudad de México,Cruz Azul,0:2,Pumas UNAM,2003
28 de noviembre de 2002,Mérida,Nacional Táchira,3:2,Estudiantes de Mérida,2003
18 de febrero,Asunción,Libertad,2:2,Emelec,2003
19 de febrero,Cali,Deportivo Cali,2:0,River Plate,2003
25 de febrero,Guayaquil,Emelec,0:4,Deportivo Cali,2003
27 de febrero,Buenos Aires,River Plate,3:1,Libertad,2003
11 de marzo,Cali,Deportivo Cali,1:0,Libertad,2003
13 de marzo,Guayaquil,Emelec,3:1,River Plate,2003
18 de marzo,Guayaquil,Emelec,1:5,Libertad,2003
20 de marzo,Buenos Aires,River Plate,2:1,Deportivo Cali,2003
1 de abril,Cali,Deportivo Cali,1:0,Emelec,2003
9 de abril,Asunción,Libertad,0:2,River Plate,2003
17 de abril,Asunción,Libertad,1:0,Deportivo Cali,2003
17 de abril,Buenos Aires,River Plate,2:0,Emelec,2003
6 de febrero,Asunción,Cerro Porteño,3:2,Universidad Católica,2003
13 de febrero,Lima,Sporting Cristal,0:2,Paysandu,2003
19 de febrero,Santiago,Universidad Católica,0:1,Sporting Cristal,2003
6 de marzo,Belém,Paysandu,0:0,Cerro Porteño,2003
11 de marzo,Belém,Paysandu,3:1,Universidad Católica,2003
12 de marzo,Lima,Sporting Cristal,1:1,Cerro Porteño,2003
18 de marzo,Belém,Paysandu,2:1,Sporting Cristal,2003
18 de marzo,Santiago,Universidad Católica,2:1,Cerro Porteño,2003
27 de marzo,Ciudad del Este,Cerro Porteño,2:6,Paysandu,2003
27 de marzo,Lima,Sporting Cristal,3:1,Universidad Católica,2003
15 de abril,Santiago,Universidad Católica,1:1,Paysandu,2003
15 de abril,Asunción,Cerro Porteño,1:0,Sporting Cristal,2003
5 de febrero,Asunción,12 de Octubre,3:1,El Nacional,2003
5 de febrero,Cali,América de Cali,1:5,Santos,2003
20 de febrero,Santos,Santos,3:1,12 de Octubre,2003
26 de febrero,Quito,El Nacional,1:1,América de Cali,2003
4 de marzo,Cali,América de Cali,4:1,12 de Octubre,2003
12 de marzo,Quito,El Nacional,0:0,Santos,2003
19 de marzo,Quito,El Nacional,1:0,12 de Octubre,2003
19 de marzo,Santos,Santos,3:0,América de Cali,2003
25 de marzo,Ciudad del Este,12 de Octubre,1:4,Santos,2003
27 de marzo,Cali,América de Cali,1:0,El Nacional,2003
16 de abril,Asunción,12 de Octubre,1:4,América de Cali,2003
16 de abril,Santos,Santos,1:1,El Nacional,2003
11 de febrero,Lima,Alianza Lima,1:1,Olimpia,2003
12 de febrero,Calama,Cobreloa,0:0,Gimnasia y Esgrima,2003
20 de febrero,Asunción,Olimpia,0:0,Cobreloa,2003
26 de febrero,La Plata,Gimnasia y Esgrima,5:1,Alianza Lima,2003
4 de marzo,La Plata,Gimnasia y Esgrima,1:1,Olimpia,2003
5 de marzo,Lima,Alianza Lima,2:3,Cobreloa,2003
19 de marzo,La Plata,Gimnasia y Esgrima,0:0,Cobreloa,2003
20 de marzo,Asunción,Olimpia,0:1,Alianza Lima,2003
25 de marzo,Calama,Cobreloa,2:3,Olimpia,2003
26 de marzo,Lima,Alianza Lima,1:1,Gimnasia y Esgrima,2003
8 de abril,Asunción,Olimpia,4:1,Gimnasia y Esgrima,2003
8 de abril,Calama,Cobreloa,4:0,Alianza Lima,2003
4 de febrero,Porto Alegre,Grêmio,3:2,Pumas UNAM,2003
11 de febrero,Ciudad de México,Pumas UNAM,2:0,Bolívar,2003
18 de febrero,Montevideo,Peñarol,2:2,Grêmio,2003
25 de febrero,La Paz,Bolívar,5:2,Peñarol,2003
11 de marzo,Montevideo,Peñarol,2:0,Pumas UNAM,2003
13 de marzo,Porto Alegre,Grêmio,1:0,Bolívar,2003
18 de marzo,Montevideo,Peñarol,4:0,Bolívar,2003
20 de marzo,Ciudad de México,Pumas UNAM,1:0,Grêmio,2003
26 de marzo,La Paz,Bolívar,2:0,Pumas UNAM,2003
2 de abril,Porto Alegre,Grêmio,4:1,Peñarol,2003
10 de abril,Ciudad de México,Pumas UNAM,3:1,Peñarol,2003
10 de abril,La Paz,Bolívar,1:0,Grêmio,2003
18 de febrero,Lima,Universitario,1:1,Racing Club,2003
25 de febrero,Montevideo,Nacional,1:2,Racing Club,2003
26 de febrero,Lima,Universitario,2:0,Oriente Petrolero,2003
6 de marzo,Santa Cruz,Oriente Petrolero,2:3,Nacional,2003
12 de marzo,Avellaneda,Racing Club,2:0,Oriente Petrolero,2003
19 de marzo,Montevideo,Nacional,2:0,Universitario,2003
25 de marzo,Avellaneda,Racing Club,1:1,Universitario,2003
1 de abril,Montevideo,Nacional,3:0,Oriente Petrolero,2003
8 de abril,Santa Cruz,Oriente Petrolero,2:2,Universitario,2003
9 de abril,Avellaneda,Racing Club,4:1,Nacional,2003
16 de abril,Lima,Universitario,2:2,Nacional,2003
16 de abril,Santa Cruz,Oriente Petrolero,0:1,Racing Club,2003
6 de febrero,Guayaquil,Barcelona,2:0,Colo-Colo,2003
20 de febrero,Buenos Aires,Boca Juniors,2:0,Independiente Medellín,2003
26 de febrero,Santiago,Colo-Colo,1:2,Boca Juniors,2003
27 de febrero,Medellín,Independiente Medellín,1:0,Barcelona,2003
5 de marzo,Buenos Aires,Boca Juniors,2:1,Barcelona,2003
6 de marzo,Santiago,Colo-Colo,2:1,Independiente Medellín,2003
13 de marzo,Santiago,Colo-Colo,1:1,Barcelona,2003
26 de marzo,Medellín,Independiente Medellín,1:0,Boca Juniors,2003
3 de abril,Buenos Aires,Boca Juniors,2:2,Colo-Colo,2003
3 de abril,Guayaquil,Barcelona,2:4,Independiente Medellín,2003
10 de abril,Guayaquil,Barcelona,2:2,Boca Juniors,2003
10 de abril,Medellín,Independiente Medellín,2:0,Colo-Colo,2003
5 de febrero,São Paulo,Corinthians,1:0,Cruz Azul,2003
18 de febrero,Ciudad de México,Cruz Azul,3:2,The Strongest,2003
19 de febrero,Montevideo,Fénix,1:2,Corinthians,2003
