Fecha,Ubicacion,Local,Visitante,year,HomeGoals,AwayGoals
3 de mayo,Acarigua,Portuguesa,Estudiantes de Mérida,1981,0,0
6 de mayo,Montevideo,Bella Vista,Peñarol,1981,0,0
13 de mayo,Montevideo,Peñarol,Portuguesa,1981,3,0
13 de mayo,Montevideo,Bella Vista,Estudiantes de Mérida,1981,3,1
17 de mayo,Montevideo,Bella Vista,Portuguesa,1981,4,0
18 de mayo,Montevideo,Peñarol,Estudiantes de Mérida,1981,4,2
3 de julio,Belo Horizonte,Atlético Mineiro,Flamengo,1981,2,2
7 de julio,Asunción,Cerro Porteño,Olimpia,1981,0,0
14 de julio,Río de Janeiro,Flamengo,Cerro Porteño,1981,5,2
17 de julio,Asunción,Olimpia,Atlético Mineiro,1981,0,0
21 de julio,Asunción,Cerro Porteño,Atlético Mineiro,1981,0,1
24 de julio,Río de Janeiro,Flamengo,Olimpia,1981,1,1
28 de julio,Belo Horizonte,Atlético Mineiro,Olimpia,1981,1,0
31 de julio,Belo Horizonte,Atlético Mineiro,Cerro Porteño,1981,2,2
7 de agosto,Río de Janeiro,Flamengo,Atlético Mineiro,1981,2,2
8 de agosto,Asunción,Olimpia,Cerro Porteño,1981,0,3
11 de agosto,Asunción,Cerro Porteño,Flamengo,1981,2,4
14 de agosto,Asunción,Olimpia,Flamengo,1981,0,0
29 de marzo,Cochabamba,Jorge Wilstermann,The Strongest,1981,3,2
29 de marzo,Guayaquil,Barcelona,Técnico Universitario,1981,2,1
4 de abril,Ambato,Técnico Universitario,Jorge Wilstermann,1981,1,2
5 de abril,Guayaquil,Barcelona,The Strongest,1981,2,1
8 de abril,Ambato,Técnico Universitario,The Strongest,1981,2,3
8 de abril,Guayaquil,Barcelona,Jorge Wilstermann,1981,3,0
12 de abril,Cochabamba,Jorge Wilstermann,Técnico Universitario,1981,3,1
12 de abril,La Paz,The Strongest,Barcelona,1981,1,0
19 de abril,Cochabamba,Jorge Wilstermann,Barcelona,1981,1,0
19 de abril,La Paz,The Strongest,Técnico Universitario,1981,4,2
26 de abril,La Paz,The Strongest,Jorge Wilstermann,1981,2,0
26 de abril,Ambato,Técnico Universitario,Barcelona,1981,4,1
18 de marzo,Santiago,Universidad de Chile,Cobreloa,1981,0,0
18 de marzo,Lima,Sporting Cristal,Atlético Torino,1981,2,1
24 de marzo,Lima,Sporting Cristal,Universidad de Chile,1981,3,2
24 de marzo,Lima,Atlético Torino,Cobreloa,1981,1,1
27 de marzo,Lima,Sporting Cristal,Cobreloa,1981,0,0
27 de marzo,Lima,Atlético Torino,Universidad de Chile,1981,1,2
7 de abril,Calama,Cobreloa,Universidad de Chile,1981,1,0
7 de abril,Lima,Atlético Torino,Sporting Cristal,1981,1,2
10 de abril,Calama,Cobreloa,Atlético Torino,1981,6,1
10 de abril,Santiago,Universidad de Chile,Sporting Cristal,1981,1,1
14 de abril,Calama,Cobreloa,Sporting Cristal,1981,6,1
14 de abril,Santiago,Universidad de Chile,Atlético Torino,1981,3,0
2 de octubre,Cali,Deportivo Cali,Flamengo,1981,0,1
13 de octubre,Cochabamba,Jorge Wilstermann,Flamengo,1981,1,2
16 de octubre,Cali,Deportivo Cali,Jorge Wilstermann,1981,1,0
23 de octubre,Río de Janeiro,Flamengo,Deportivo Cali,1981,3,0
27 de octubre,Cochabamba,Jorge Wilstermann,Deportivo Cali,1981,1,1
30 de octubre,Río de Janeiro,Flamengo,Jorge Wilstermann,1981,4,1
30 de septiembre,Montevideo,Peñarol,Nacional,1981,1,1
8 de octubre,Montevideo,Nacional,Cobreloa,1981,1,2
13 de octubre,Montevideo,Peñarol,Cobreloa,1981,0,1
21 de octubre,Montevideo,Nacional,Peñarol,1981,1,1
28 de octubre,Calama,Cobreloa,Peñarol,1981,4,2
4 de noviembre,Calama,Cobreloa,Nacional,1981,2,2
13 de noviembre,Río de Janeiro,Flamengo,Cobreloa,1981,2,1
20 de noviembre,Santiago,Cobreloa,Flamengo,1981,1,0
23 de noviembre,Montevideo,Flamengo,Cobreloa,1981,2,0
30 de junio,Cochabamba,Jorge Wilstermann,Boca Juniors,1982,1,0
27 de julio,La Paz,The Strongest,River Plate,1982,1,0
5 de agosto,Buenos Aires,Boca Juniors,River Plate,1982,0,0
11 de agosto,La Paz,The Strongest,Boca Juniors,1982,1,0
15 de agosto,Cochabamba,Jorge Wilstermann,The Strongest,1982,1,2
20 de agosto,Cochabamba,Jorge Wilstermann,River Plate,1982,0,1
31 de agosto,Buenos Aires,Boca Juniors,The Strongest,1982,1,0
3 de septiembre,Buenos Aires,River Plate,The Strongest,1982,4,1
14 de septiembre,Buenos Aires,River Plate,Jorge Wilstermann,1982,3,0
17 de septiembre,Buenos Aires,Boca Juniors,Jorge Wilstermann,1982,2,2
30 de septiembre,La Paz,The Strongest,Jorge Wilstermann,1982,1,1
30 de septiembre,Buenos Aires,River Plate,Boca Juniors,1982,1,0
5 de agosto,Montevideo,Peñarol,Defensor Sporting,1982,3,0
13 de agosto,São Paulo,São Paulo,Gremio,1982,2,2
17 de agosto,Montevideo,Defensor Sporting,São Paulo,1982,1,3
20 de agosto,Montevideo,Peñarol,São Paulo,1982,1,0
24 de agosto,Montevideo,Defensor Sporting,Gremio,1982,0,0
27 de agosto,Montevideo,Peñarol,Gremio,1982,1,0
3 de septiembre,Porto Alegre,Gremio,São Paulo,1982,0,0
